"ibraRegion","yearStart","yearEnd","epbcStatus","recordCount","speciesCount"
"Australian Alps",1900,1970,"Not listed",45992,3477
"Australian Alps",1900,1970,"Vulnerable",205,15
"Brigalow Belt South",1900,1970,"Not listed",66045,6740
"Broken Hill Complex",1900,1970,"Not listed",8694,1390
"Cobar Peneplain",1900,1970,"Not listed",18664,1944
"Darling Riverine Plains",1900,1970,"Not listed",20069,2411
"Mulga Lands",1900,1970,"Not listed",15266,2019
"NSW North Coast",1900,1970,"Not listed",75229,7503
"NSW South Western Slopes",1900,1970,"Not listed",50458,4161
"New England Tablelands",1900,1970,"Not listed",44736,4651
"Riverina",1900,1970,"Not listed",72938,3729
"Riverina",1900,1970,"Vulnerable",542,22
"South Eastern Highlands",1900,1970,"Not listed",193270,10584
"South Eastern Queensland",1900,1970,"Not listed",135746,12932
"Sydney Basin",1900,1970,"Not listed",213656,12734
"Sydney Basin",1900,1970,"Critically Endangered",223,10
"Sydney Basin",1900,1970,"Vulnerable",1566,90
"Burt Plain",1900,1970,"Not listed",10222,1294
"Daly Basin",1900,1970,"Not listed",6647,1501
"Darwin Coastal",1900,1970,"Endangered",68,4
"Darwin Coastal",1900,1970,"Not listed",13092,2795
"Gulf Coastal",1900,1970,"Not listed",1526,539
"Gulf Fall and Uplands",1900,1970,"Not listed",5619,1455
"MacDonnell Ranges",1900,1970,"Not listed",17356,1831
"Mitchell Grass Downs",1900,1970,"Not listed",11517,1849
"Ord Victoria Plain",1900,1970,"Not listed",4602,1050
"Tanami",1900,1970,"Not listed",5245,1032
"Tiwi Cobourg",1900,1970,"Not listed",4124,1274
"Brigalow Belt North",1900,1970,"Not listed",28206,5363
"Brigalow Belt South",1900,1970,"Vulnerable",228,47
"Cape York Peninsula",1900,1970,"Not listed",27430,5194
"Central Mackay Coast",1900,1970,"Not listed",10976,3586
"Channel Country",1900,1970,"Not listed",9794,1434
"Desert Uplands",1900,1970,"Not listed",2389,822
"Einasleigh Uplands",1900,1970,"Not listed",13059,3544
"Gulf Plains",1900,1970,"Not listed",9173,2283
"Mount Isa Inlier",1900,1970,"Not listed",4447,1040
"Mount Isa Inlier",1900,1970,"Vulnerable",8,2
"South Eastern Queensland",1900,1970,"Vulnerable",895,83
"Wet Tropics",1900,1970,"Not listed",68159,10053
"Wet Tropics",1900,1970,"Vulnerable",212,35
"Eyre Yorke Block",1900,1970,"Not listed",79705,4140
"Flinders Lofty Block",1900,1970,"Not listed",79211,5128
"Gawler",1900,1970,"Not listed",14708,1778
"Kanmantoo",1900,1970,"Not listed",31820,3263
"Murray Darling Depression",1900,1970,"Not listed",106514,5507
"Naracoorte Coastal Plain",1900,1970,"Not listed",54433,3420
"Ben Lomond",1900,1970,"Not listed",4263,1406
"Furneaux",1900,1970,"Not listed",17808,3236
"Tasmanian Central Highlands",1900,1970,"Not listed",8005,1687
"Tasmanian Northern Midlands",1900,1970,"Not listed",5661,1588
"Tasmanian Northern Midlands",1900,1970,"Vulnerable",61,11
"Tasmanian Northern Slopes",1900,1970,"Not listed",5085,1702
"Tasmanian South East",1900,1970,"Not listed",35492,5336
"Tasmanian South East",1900,1970,"Conservation Dependent",13,2
"Tasmanian Southern Ranges",1900,1970,"Not listed",12388,2498
"Murray Darling Depression",1900,1970,"Endangered",212,25
"South East Coastal Plain",1900,1970,"Not listed",140198,8023
"South East Coastal Plain",1900,1970,"Endangered",236,20
"South East Corner",1900,1970,"Not listed",55398,5356
"Southern Volcanic Plain",1900,1970,"Not listed",59968,5027
"Southern Volcanic Plain",1900,1970,"Endangered",258,20
"Victorian Midlands",1900,1970,"Not listed",68571,5283
"Avon Wheatbelt",1900,1970,"Not listed",28168,4065
"Carnarvon",1900,1970,"Not listed",7737,2063
"Coolgardie",1900,1970,"Not listed",14080,2206
"Dampierland",1900,1970,"Not listed",6903,1965
"Esperance Plains",1900,1970,"Not listed",21335,3208
"Jarrah Forest",1900,1970,"Not listed",24984,4332
"Mallee",1900,1970,"Not listed",13262,2637
"Northern Kimberley",1900,1970,"Not listed",2679,1042
"Northern Kimberley",1900,1970,"Vulnerable",6,3
"Pilbara",1900,1970,"Not listed",9615,1775
"Swan Coastal Plain",1900,1970,"Not listed",27945,5029
"Victoria Bonaparte",1900,1970,"Not listed",7162,1626
"Warren",1900,1970,"Not listed",8097,1989
"Murray Darling Depression",1900,1970,"Vulnerable",572,28
"South Eastern Highlands",1900,1970,"Endangered",542,29
"South Eastern Highlands",1900,1970,"Vulnerable",1545,61
"Southern Volcanic Plain",1900,1970,"Critically Endangered",38,3
"Gulf Plains",1900,1970,"Vulnerable",22,5
"Darling Riverine Plains",1900,1970,"Critically Endangered",6,2
"NSW North Coast",1900,1970,"Critically Endangered",100,2
"NSW North Coast",1900,1970,"Vulnerable",440,42
"NSW South Western Slopes",1900,1970,"Critically Endangered",42,6
"NSW South Western Slopes",1900,1970,"Endangered",101,12
"NSW South Western Slopes",1900,1970,"Vulnerable",271,28
"Nandewar",1900,1970,"Not listed",8973,2226
"New England Tablelands",1900,1970,"Vulnerable",396,32
"Pacific Subtropical Islands",1900,1970,"Extinct",15,5
"Pacific Subtropical Islands",1900,1970,"Not listed",5834,1596
"South Eastern Queensland",1900,1970,"Endangered",313,47
"Sydney Basin",1900,1970,"Endangered",625,49
"Arnhem Coast",1900,1970,"Not listed",6020,1734
"Davenport Murchison Ranges",1900,1970,"Not listed",4478,955
"Finke",1900,1970,"Not listed",7871,1159
"Pine Creek",1900,1970,"Endangered",75,5
"Brigalow Belt South",1900,1970,"Critically Endangered",15,5
"Cape York Peninsula",1900,1970,"Vulnerable",51,17
"Einasleigh Uplands",1900,1970,"Vulnerable",76,15
"Gulf Plains",1900,1970,"Endangered",13,3
"Wet Tropics",1900,1970,"Extinct",23,2
"Central Ranges",1900,1970,"Not listed",10115,1343
"Flinders Lofty Block",1900,1970,"Endangered",163,18
"Kanmantoo",1900,1970,"Endangered",97,16
"Kanmantoo",1900,1970,"Vulnerable",121,18
"Stony Plains",1900,1970,"Not listed",11630,1384
"Furneaux",1900,1970,"Critically Endangered",5,3
"King",1900,1970,"Not listed",5701,1653
"Tasmanian South East",1900,1970,"Vulnerable",69,16
"Tasmanian West",1900,1970,"Not listed",5932,1641
"South East Coastal Plain",1900,1970,"Vulnerable",505,33
"Southern Volcanic Plain",1900,1970,"Vulnerable",351,34
"Avon Wheatbelt",1900,1970,"Endangered",135,31
"Avon Wheatbelt",1900,1970,"Vulnerable",92,19
"Central Kimberley",1900,1970,"Not listed",3126,942
"Esperance Plains",1900,1970,"Vulnerable",83,10
"Geraldton Sandplains",1900,1970,"Not listed",14286,2827
"Great Victoria Desert",1900,1970,"Not listed",7444,1284
"Murchison",1900,1970,"Not listed",12625,1888
"Northern Kimberley",1900,1970,"Endangered",8,2
"Swan Coastal Plain",1900,1970,"Endangered",47,14
"Swan Coastal Plain",1900,1970,"Critically Endangered",108,5
"Yalgoo",1900,1970,"Not listed",3552,1281
"Pacific Subtropical Islands",1900,1970,"Critically Endangered",105,16
"Mulga Lands",1900,1970,"Vulnerable",24,6
"South East Corner",1900,1970,"Vulnerable",547,42
"Brigalow Belt North",1900,1970,"Critically Endangered",13,3
"Central Ranges",1900,1970,"Vulnerable",46,5
"Flinders Lofty Block",1900,1970,"Vulnerable",173,30
"Simpson Strzelecki Dunefields",1900,1970,"Not listed",6372,1045
"Furneaux",1900,1970,"Vulnerable",69,16
"Victorian Midlands",1900,1970,"Endangered",259,26
"Broken Hill Complex",1900,1970,"Vulnerable",37,3
"Darling Riverine Plains",1900,1970,"Vulnerable",46,11
"Nandewar",1900,1970,"Vulnerable",29,12
"South Eastern Queensland",1900,1970,"Critically Endangered",77,6
"Arnhem Plateau",1900,1970,"Not listed",1004,487
"MacDonnell Ranges",1900,1970,"Vulnerable",96,13
"Pine Creek",1900,1970,"Not listed",12085,1860
"Brigalow Belt North",1900,1970,"Endangered",53,11
"Brigalow Belt North",1900,1970,"Vulnerable",143,17
"Flinders Lofty Block",1900,1970,"Critically Endangered",16,3
"Kanmantoo",1900,1970,"Conservation Dependent",1,1
"Nullarbor",1900,1970,"Not listed",4667,935
"Victorian Midlands",1900,1970,"Critically Endangered",63,6
"Victorian Midlands",1900,1970,"Vulnerable",473,26
"Warren",1900,1970,"Endangered",17,6
"Indian Tropical Islands",1900,1970,"Not listed",741,323
"Nullarbor",1900,1970,"Vulnerable",17,3
"King",1900,1970,"Endangered",33,11
"Naracoorte Coastal Plain",1900,1970,"Vulnerable",154,23
"Murray Darling Depression",1900,1970,"Extinct",2,1
"Naracoorte Coastal Plain",1900,1970,"Endangered",98,16
"Cape York Peninsula",1900,1970,"Endangered",71,6
"Ben Lomond",1900,1970,"Endangered",12,3
"Tasmanian Central Highlands",1900,1970,"Extinct",5,2
"Tasmanian South East",1900,1970,"Critically Endangered",51,7
"Avon Wheatbelt",1900,1970,"Critically Endangered",33,11
"Esperance Plains",1900,1970,"Endangered",145,26
"Gascoyne",1900,1970,"Not listed",2232,852
"Jarrah Forest",1900,1970,"Vulnerable",64,17
"Swan Coastal Plain",1900,1970,"Vulnerable",56,11
"Warren",1900,1970,"Critically Endangered",26,3
"Pacific Subtropical Islands",1900,1970,"Vulnerable",22,8
"Arnhem Coast",1900,1970,"Vulnerable",19,4
"Burt Plain",1900,1970,"Vulnerable",119,8
"Central Arnhem",1900,1970,"Not listed",727,435
"Davenport Murchison Ranges",1900,1970,"Vulnerable",33,3
"Tasmanian Northern Slopes",1900,1970,"Vulnerable",18,7
"South East Corner",1900,1970,"Endangered",145,10
"NSW North Coast",1900,1970,"Endangered",245,17
"Great Sandy Desert",1900,1970,"Not listed",5592,1228
"Great Sandy Desert",1900,1970,"Vulnerable",25,5
"Sturt Plateau",1900,1970,"Not listed",2365,774
"Channel Country",1900,1970,"Vulnerable",110,9
"Wet Tropics",1900,1970,"Critically Endangered",24,7
"Channel Country",1900,1970,"Extinct",15,2
"Eyre Yorke Block",1900,1970,"Vulnerable",304,19
"Eyre Yorke Block",1900,1970,"Critically Endangered",8,2
"Eyre Yorke Block",1900,1970,"Endangered",106,21
"Great Victoria Desert",1900,1970,"Vulnerable",32,6
"Tasmanian Central Highlands",1900,1970,"Vulnerable",30,5
"Coolgardie",1900,1970,"Vulnerable",35,4
"Esperance Plains",1900,1970,"Critically Endangered",9,3
"Gibson Desert",1900,1970,"Not listed",986,415
"Jarrah Forest",1900,1970,"Endangered",56,24
"Jarrah Forest",1900,1970,"Critically Endangered",37,8
"Little Sandy Desert",1900,1970,"Not listed",339,222
"Cobar Peneplain",1900,1970,"Vulnerable",44,7
"Riverina",1900,1970,"Critically Endangered",126,5
"Daly Basin",1900,1970,"Endangered",25,3
"Tasmanian South East",1900,1970,"Endangered",336,15
"Subantarctic Islands",1900,1970,"Not listed",1718,243
"Furneaux",1900,1970,"Conservation Dependent",494,1
"New England Tablelands",1900,1970,"Endangered",268,11
"New England Tablelands",1900,1970,"Extinct",1,1
"South Eastern Highlands",1900,1970,"Critically Endangered",343,16
"Wet Tropics",1900,1970,"Endangered",59,16
"Furneaux",1900,1970,"Endangered",280,11
"Tasmanian Central Highlands",1900,1970,"Endangered",54,6
"Tasmanian Northern Slopes",1900,1970,"Endangered",11,4
"Tasmanian Southern Ranges",1900,1970,"Endangered",25,6
"Tasmanian West",1900,1970,"Endangered",10,3
"Hampton",1900,1970,"Not listed",1553,539
"Mallee",1900,1970,"Vulnerable",29,7
"Murchison",1900,1970,"Critically Endangered",12,2
"Yalgoo",1900,1970,"Critically Endangered",23,3
"New England Tablelands",1900,1970,"Critically Endangered",17,3
"Gulf Fall and Uplands",1900,1970,"Endangered",27,2
"Tanami",1900,1970,"Vulnerable",68,5
"Riverina",1900,1970,"Endangered",358,16
"Coral Sea",1900,1970,"Not listed",204,128
"Australian Alps",1900,1970,"Critically Endangered",446,8
"Brigalow Belt South",1900,1970,"Endangered",48,15
"Mount Isa Inlier",1900,1970,"Endangered",1,1
"Nandewar",1900,1970,"Endangered",8,7
"Mitchell Grass Downs",1900,1970,"Vulnerable",20,8
"South Eastern Queensland",1900,1970,"Extinct",94,3
"Naracoorte Coastal Plain",1900,1970,"Critically Endangered",9,2
"Ben Lomond",1900,1970,"Vulnerable",6,4
"King",1900,1970,"Vulnerable",15,6
"Coolgardie",1900,1970,"Endangered",28,3
"Geraldton Sandplains",1900,1970,"Endangered",49,17
"Warren",1900,1970,"Vulnerable",15,7
"Tiwi Cobourg",1900,1970,"Vulnerable",80,7
"Daly Basin",1900,1970,"Vulnerable",8,1
"Pine Creek",1900,1970,"Vulnerable",30,6
"Victoria Bonaparte",1900,1970,"Endangered",16,3
"Australian Alps",1900,1970,"Endangered",144,7
"Murray Darling Depression",1900,1970,"Critically Endangered",37,3
"Darling Riverine Plains",1900,1970,"Endangered",8,4
"Victoria Bonaparte",1900,1970,"Vulnerable",3,2
"Tasmanian Northern Midlands",1900,1970,"Conservation Dependent",2,1
"Tasmanian Southern Ranges",1900,1970,"Vulnerable",3,3
"Subantarctic Islands",1900,1970,"Critically Endangered",27,1
"Geraldton Sandplains",1900,1970,"Critically Endangered",8,2
"Australian Alps",1976,1980,"Not listed",52741,2480
"South Eastern Highlands",1976,1980,"Endangered",1105,26
"South Eastern Highlands",1976,1980,"Not listed",266130,5831
"South Eastern Highlands",1976,1980,"Vulnerable",991,45
"Sydney Basin",1976,1980,"Not listed",93052,6064
"Australian Alps",1976,1980,"Endangered",292,6
"Australian Alps",1976,1980,"Vulnerable",158,11
"Brigalow Belt South",1976,1980,"Endangered",18,11
"Brigalow Belt South",1976,1980,"Not listed",55743,3384
"Brigalow Belt South",1976,1980,"Vulnerable",180,30
"Brigalow Belt South",1976,1980,"Critically Endangered",3,2
"Broken Hill Complex",1976,1980,"Not listed",6408,885
"Channel Country",1976,1980,"Not listed",15695,1515
"Cobar Peneplain",1976,1980,"Endangered",14,4
"Cobar Peneplain",1976,1980,"Not listed",22758,1365
"Cobar Peneplain",1976,1980,"Vulnerable",88,9
"Darling Riverine Plains",1976,1980,"Not listed",34110,1330
"Darling Riverine Plains",1976,1980,"Endangered",11,2
"Darling Riverine Plains",1976,1980,"Vulnerable",60,9
"Mulga Lands",1976,1980,"Not listed",15308,1276
"Murray Darling Depression",1976,1980,"Not listed",148122,3104
"Murray Darling Depression",1976,1980,"Vulnerable",309,18
"NSW North Coast",1976,1980,"Endangered",48,12
"NSW North Coast",1976,1980,"Not listed",40695,4037
"NSW North Coast",1976,1980,"Vulnerable",329,32
"NSW South Western Slopes",1976,1980,"Endangered",157,11
"NSW South Western Slopes",1976,1980,"Not listed",92857,2437
"NSW South Western Slopes",1976,1980,"Vulnerable",311,16
"NSW South Western Slopes",1976,1980,"Critically Endangered",25,4
"Nandewar",1976,1980,"Not listed",10673,1207
"Nandewar",1976,1980,"Vulnerable",38,8
"Nandewar",1976,1980,"Critically Endangered",1,1
"New England Tablelands",1976,1980,"Not listed",18516,2350
"New England Tablelands",1976,1980,"Vulnerable",119,24
"New England Tablelands",1976,1980,"Critically Endangered",2,1
"Pacific Subtropical Islands",1976,1980,"Not listed",3427,816
"Riverina",1976,1980,"Not listed",121034,2072
"Riverina",1976,1980,"Vulnerable",258,14
"Simpson Strzelecki Dunefields",1976,1980,"Not listed",7567,926
"South East Corner",1976,1980,"Endangered",486,13
"South East Corner",1976,1980,"Not listed",157445,4041
"South East Corner",1976,1980,"Vulnerable",757,32
"South Eastern Queensland",1976,1980,"Not listed",127296,6966
"South Eastern Queensland",1976,1980,"Vulnerable",674,59
"South Eastern Queensland",1976,1980,"Endangered",308,32
"Sydney Basin",1976,1980,"Endangered",230,26
"Sydney Basin",1976,1980,"Vulnerable",650,59
"Sydney Basin",1976,1980,"Critically Endangered",35,7
"Arnhem Coast",1976,1980,"Not listed",5715,1152
"Arnhem Coast",1976,1980,"Endangered",23,5
"Arnhem Plateau",1976,1980,"Not listed",7950,1337
"Arnhem Plateau",1976,1980,"Vulnerable",5,1
"Burt Plain",1976,1980,"Not listed",4215,710
"Central Arnhem",1976,1980,"Not listed",497,213
"Central Ranges",1976,1980,"Not listed",4193,847
"Daly Basin",1976,1980,"Not listed",12441,963
"Darwin Coastal",1976,1980,"Endangered",40,6
"Darwin Coastal",1976,1980,"Not listed",34877,2218
"Davenport Murchison Ranges",1976,1980,"Not listed",2862,631
"Finke",1976,1980,"Not listed",4885,765
"Great Sandy Desert",1976,1980,"Not listed",4356,959
"Gulf Coastal",1976,1980,"Not listed",1647,664
"Gulf Fall and Uplands",1976,1980,"Not listed",9347,1349
"Gulf Fall and Uplands",1976,1980,"Endangered",17,2
"Gulf Fall and Uplands",1976,1980,"Vulnerable",4,2
"MacDonnell Ranges",1976,1980,"Not listed",12736,1274
"MacDonnell Ranges",1976,1980,"Endangered",21,3
"MacDonnell Ranges",1976,1980,"Vulnerable",21,8
"Mitchell Grass Downs",1976,1980,"Not listed",9536,1404
"Ord Victoria Plain",1976,1980,"Not listed",7838,1033
"Ord Victoria Plain",1976,1980,"Endangered",25,3
"Pine Creek",1976,1980,"Endangered",66,4
"Pine Creek",1976,1980,"Not listed",30363,2069
"Pine Creek",1976,1980,"Vulnerable",50,8
"Sturt Plateau",1976,1980,"Endangered",15,1
"Sturt Plateau",1976,1980,"Not listed",3732,519
"Tanami",1976,1980,"Not listed",3408,899
"Tanami",1976,1980,"Vulnerable",12,2
"Tiwi Cobourg",1976,1980,"Not listed",1939,574
"Tiwi Cobourg",1976,1980,"Vulnerable",3,2
"Victoria Bonaparte",1976,1980,"Not listed",12274,1573
"Victoria Bonaparte",1976,1980,"Endangered",32,4
"Brigalow Belt North",1976,1980,"Not listed",22502,2584
"Brigalow Belt North",1976,1980,"Vulnerable",107,12
"Brigalow Belt North",1976,1980,"Endangered",29,5
"Brigalow Belt North",1976,1980,"Critically Endangered",27,3
"Cape York Peninsula",1976,1980,"Not listed",37461,4917
"Cape York Peninsula",1976,1980,"Endangered",54,9
"Cape York Peninsula",1976,1980,"Vulnerable",104,23
"Central Mackay Coast",1976,1980,"Endangered",70,5
"Central Mackay Coast",1976,1980,"Not listed",8058,1818
"Central Mackay Coast",1976,1980,"Vulnerable",51,10
"Desert Uplands",1976,1980,"Not listed",2915,595
"Einasleigh Uplands",1976,1980,"Not listed",14973,2065
"Einasleigh Uplands",1976,1980,"Vulnerable",98,17
"Einasleigh Uplands",1976,1980,"Endangered",13,5
"Gulf Plains",1976,1980,"Not listed",7823,1042
"Mitchell Grass Downs",1976,1980,"Vulnerable",21,5
"Mount Isa Inlier",1976,1980,"Not listed",4732,630
"Mulga Lands",1976,1980,"Vulnerable",16,6
"South Eastern Queensland",1976,1980,"Extinct",85,2
"Wet Tropics",1976,1980,"Not listed",37245,4887
"Wet Tropics",1976,1980,"Endangered",72,15
"Wet Tropics",1976,1980,"Vulnerable",194,29
"Broken Hill Complex",1976,1980,"Vulnerable",17,2
"Eyre Yorke Block",1976,1980,"Not listed",37691,2391
"Flinders Lofty Block",1976,1980,"Not listed",51464,2948
"Flinders Lofty Block",1976,1980,"Endangered",42,8
"Gawler",1976,1980,"Not listed",8491,1073
"Great Victoria Desert",1976,1980,"Not listed",5820,1049
"Kanmantoo",1976,1980,"Not listed",18239,2252
"Kanmantoo",1976,1980,"Endangered",161,14
"Kanmantoo",1976,1980,"Vulnerable",108,17
"Naracoorte Coastal Plain",1976,1980,"Not listed",47957,2312
"Naracoorte Coastal Plain",1976,1980,"Endangered",230,13
"Naracoorte Coastal Plain",1976,1980,"Vulnerable",180,20
"Nullarbor",1976,1980,"Not listed",1913,503
"Southern Volcanic Plain",1976,1980,"Not listed",103115,2379
"Stony Plains",1976,1980,"Not listed",9676,1077
"Stony Plains",1976,1980,"Endangered",4,1
"Ben Lomond",1976,1980,"Not listed",5587,1029
"Ben Lomond",1976,1980,"Endangered",6,3
"Ben Lomond",1976,1980,"Vulnerable",33,9
"Furneaux",1976,1980,"Not listed",11379,1843
"Furneaux",1976,1980,"Vulnerable",54,14
"King",1976,1980,"Not listed",3172,874
"King",1976,1980,"Endangered",8,2
"King",1976,1980,"Vulnerable",11,4
"Tasmanian Central Highlands",1976,1980,"Not listed",5453,993
"Tasmanian Northern Midlands",1976,1980,"Not listed",3922,556
"Tasmanian Northern Midlands",1976,1980,"Vulnerable",14,6
"Tasmanian Northern Slopes",1976,1980,"Not listed",4331,782
"Tasmanian South East",1976,1980,"Not listed",20954,2769
"Tasmanian Southern Ranges",1976,1980,"Not listed",7118,1414
"Tasmanian Southern Ranges",1976,1980,"Vulnerable",24,9
"Tasmanian West",1976,1980,"Not listed",7375,1371
"Tasmanian West",1976,1980,"Vulnerable",21,5
"Tasmanian West",1976,1980,"Endangered",4,2
"Subantarctic Islands",1976,1980,"Not listed",3787,255
"Riverina",1976,1980,"Endangered",102,7
"South East Coastal Plain",1976,1980,"Not listed",226416,3609
"South East Coastal Plain",1976,1980,"Endangered",485,13
"South East Coastal Plain",1976,1980,"Vulnerable",878,28
"Southern Volcanic Plain",1976,1980,"Vulnerable",274,22
"Southern Volcanic Plain",1976,1980,"Endangered",214,15
"Victorian Midlands",1976,1980,"Critically Endangered",67,4
"Victorian Midlands",1976,1980,"Not listed",156936,2968
"Victorian Midlands",1976,1980,"Vulnerable",408,20
"Victorian Midlands",1976,1980,"Endangered",258,14
"Avon Wheatbelt",1976,1980,"Not listed",15787,2165
"Carnarvon",1976,1980,"Not listed",2872,897
"Central Kimberley",1976,1980,"Not listed",2799,855
"Coolgardie",1976,1980,"Not listed",8460,1632
"Dampierland",1976,1980,"Not listed",5614,1096
"Esperance Plains",1976,1980,"Not listed",9574,2096
"Gascoyne",1976,1980,"Not listed",1957,557
"Geraldton Sandplains",1976,1980,"Not listed",10350,2078
"Gibson Desert",1976,1980,"Not listed",253,148
"Hampton",1976,1980,"Not listed",735,203
"Jarrah Forest",1976,1980,"Not listed",16593,2754
"Jarrah Forest",1976,1980,"Endangered",39,16
"Little Sandy Desert",1976,1980,"Not listed",1308,439
"Mallee",1976,1980,"Not listed",9792,2029
"Murchison",1976,1980,"Not listed",5182,1106
"Northern Kimberley",1976,1980,"Not listed",6220,1575
"Pilbara",1976,1980,"Not listed",7685,1310
"Swan Coastal Plain",1976,1980,"Not listed",13354,2390
"Swan Coastal Plain",1976,1980,"Vulnerable",16,8
"Swan Coastal Plain",1976,1980,"Endangered",15,7
"Warren",1976,1980,"Not listed",5344,1288
"Yalgoo",1976,1980,"Not listed",1715,740
"South East Coastal Plain",1976,1980,"Critically Endangered",57,1
"Australian Alps",1976,1980,"Critically Endangered",72,5
"Furneaux",1976,1980,"Endangered",51,8
"Murray Darling Depression",1976,1980,"Endangered",94,13
"Murray Darling Depression",1976,1980,"Critically Endangered",9,3
"Riverina",1976,1980,"Critically Endangered",99,5
"South East Corner",1976,1980,"Critically Endangered",27,4
"South Eastern Highlands",1976,1980,"Critically Endangered",96,9
"Southern Volcanic Plain",1976,1980,"Critically Endangered",11,1
"Mount Isa Inlier",1976,1980,"Vulnerable",4,1
"Indian Tropical Islands",1976,1980,"Not listed",364,197
"NSW North Coast",1976,1980,"Critically Endangered",12,3
"New England Tablelands",1976,1980,"Endangered",21,7
"Pacific Subtropical Islands",1976,1980,"Critically Endangered",14,9
"Central Ranges",1976,1980,"Vulnerable",1,1
"Desert Uplands",1976,1980,"Vulnerable",12,6
"Einasleigh Uplands",1976,1980,"Critically Endangered",10,1
"Wet Tropics",1976,1980,"Critically Endangered",98,8
"Wet Tropics",1976,1980,"Extinct",58,1
"Eyre Yorke Block",1976,1980,"Vulnerable",78,13
"Eyre Yorke Block",1976,1980,"Endangered",62,14
"Flinders Lofty Block",1976,1980,"Vulnerable",43,13
"Flinders Lofty Block",1976,1980,"Extinct",2,1
"Kanmantoo",1976,1980,"Critically Endangered",6,3
"Stony Plains",1976,1980,"Vulnerable",20,2
"Tasmanian Northern Midlands",1976,1980,"Critically Endangered",4,2
"Tasmanian Northern Slopes",1976,1980,"Endangered",19,5
"Tasmanian South East",1976,1980,"Endangered",157,16
"Tasmanian South East",1976,1980,"Vulnerable",33,14
"Tasmanian Southern Ranges",1976,1980,"Endangered",14,7
"Tasmanian Southern Ranges",1976,1980,"Critically Endangered",1,1
"Tasmanian West",1976,1980,"Extinct in the wild",25,1
"Subantarctic Islands",1976,1980,"Endangered",2,1
"Carnarvon",1986,1990,"Not listed",2106,893
"Central Kimberley",1986,1990,"Not listed",2649,923
"Central Kimberley",1986,1990,"Vulnerable",2,1
"Central Ranges",1986,1990,"Not listed",947,442
"Coolgardie",1986,1990,"Not listed",3997,1236
"Coolgardie",1986,1990,"Critically Endangered",1,1
"Coolgardie",1986,1990,"Vulnerable",25,8
"Dampierland",1986,1990,"Not listed",3370,1342
"Esperance Plains",1986,1990,"Critically Endangered",11,5
"Esperance Plains",1986,1990,"Endangered",48,20
"Esperance Plains",1986,1990,"Not listed",8615,2186
"Esperance Plains",1986,1990,"Vulnerable",27,8
"Gascoyne",1986,1990,"Not listed",822,403
"Gascoyne",1986,1990,"Vulnerable",1,1
"Geraldton Sandplains",1986,1990,"Not listed",4726,1527
"Geraldton Sandplains",1986,1990,"Vulnerable",51,10
"Geraldton Sandplains",1986,1990,"Endangered",66,17
"Gibson Desert",1986,1990,"Not listed",265,155
"Great Sandy Desert",1986,1990,"Not listed",11250,1020
"Great Victoria Desert",1986,1990,"Not listed",13922,1073
"Great Victoria Desert",1986,1990,"Vulnerable",18,5
"Hampton",1986,1990,"Not listed",915,220
"Jarrah Forest",1986,1990,"Endangered",56,27
"Jarrah Forest",1986,1990,"Not listed",9699,2748
"Jarrah Forest",1986,1990,"Vulnerable",35,14
"Little Sandy Desert",1986,1990,"Not listed",137,105
"Mallee",1986,1990,"Not listed",5320,1623
"Mallee",1986,1990,"Endangered",45,12
"Mallee",1986,1990,"Vulnerable",19,8
"Murchison",1986,1990,"Not listed",4066,1285
"Murchison",1986,1990,"Critically Endangered",4,2
"Murchison",1986,1990,"Endangered",1,1
"Murchison",1986,1990,"Vulnerable",2,1
"Northern Kimberley",1986,1990,"Not listed",5847,1750
"Nullarbor",1986,1990,"Not listed",1246,446
"Ord Victoria Plain",1986,1990,"Not listed",12244,1311
"Pilbara",1986,1990,"Not listed",2250,942
"Pilbara",1986,1990,"Vulnerable",3,1
"Swan Coastal Plain",1986,1990,"Not listed",7281,2091
"Swan Coastal Plain",1986,1990,"Vulnerable",55,8
"Swan Coastal Plain",1986,1990,"Endangered",39,16
"Swan Coastal Plain",1986,1990,"Critically Endangered",15,4
"Tanami",1986,1990,"Not listed",6861,774
"Victoria Bonaparte",1986,1990,"Not listed",10293,1664
"Warren",1986,1990,"Critically Endangered",4,2
"Warren",1986,1990,"Not listed",14413,1851
"Warren",1986,1990,"Endangered",17,7
"Yalgoo",1986,1990,"Critically Endangered",1,1
"Yalgoo",1986,1990,"Not listed",1557,718
"Yalgoo",1986,1990,"Vulnerable",6,2
"Brigalow Belt North",1986,1990,"Not listed",12843,2569
"Central Mackay Coast",1986,1990,"Not listed",9830,2399
"Darwin Coastal",1986,1990,"Not listed",45509,2286
"Eyre Yorke Block",1986,1990,"Not listed",40210,2161
"Furneaux",1986,1990,"Not listed",10619,1777
"Furneaux",1986,1990,"Endangered",13,8
"Gulf Coastal",1986,1990,"Not listed",8054,1108
"Hampton",1986,1990,"Endangered",12,1
"Indian Tropical Islands",1986,1990,"Not listed",1854,981
"Indian Tropical Islands",1986,1990,"Endangered",6,2
"Kanmantoo",1986,1990,"Not listed",58664,2144
"King",1986,1990,"Not listed",1589,853
"Murray Darling Depression",1986,1990,"Not listed",153337,3174
"NSW North Coast",1986,1990,"Not listed",64046,4102
"Naracoorte Coastal Plain",1986,1990,"Not listed",36498,1921
